"Sid","Sleep Quality","Time in Bed","Wake up","Sleep Notes","Heart Rate","Worked Out","Stressed","Late Meal","Caffeinated","Minutes in Bed"
"193",88,"8:42","Ok","Drank coffee:Drank tea",62,"FALSE","FALSE","FALSE","HIGH",522
"194",77,"7:39","Good","Drank coffee:Drank tea",53,"FALSE","FALSE","FALSE","HIGH",459
"195",80,"7:44","Good","Drank coffee:Drank tea:Worked out",70,"TRUE","FALSE","FALSE","HIGH",464
"196",77,"7:40","Good","Drank coffee:Drank tea:Worked out",62,"TRUE","FALSE","FALSE","HIGH",460
"197",81,"7:55","Good","Drank coffee:Drank tea",61,"FALSE","FALSE","FALSE","HIGH",475
"198",77,"6:55","Good","Drank coffee:Drank tea",65,"FALSE","FALSE","FALSE","HIGH",415
"199",78,"8:01","Ok","Drank coffee:Worked out",59,"TRUE","FALSE","FALSE","LOW",481
"200",83,"7:51","Ok","Drank tea:Worked out",53,"TRUE","FALSE","FALSE","LOW",471
"201",81,"7:40","Ok","Drank tea:Worked out",57,"TRUE","FALSE","FALSE","LOW",460
"202",50,"6:48","Good","Drank coffee:Drank tea",63,"FALSE","FALSE","FALSE","HIGH",408
"203",83,"8:09","Ok","Drank coffee:Drank tea:Worked out",55,"TRUE","FALSE","FALSE","HIGH",489
"204",75,"7:23","Ok","Drank coffee:Drank tea:Worked out",61,"TRUE","FALSE","FALSE","HIGH",443
"205",65,"7:11","Ok","Drank coffee:Drank tea:Worked out",60,"TRUE","FALSE","FALSE","HIGH",431
"206",77,"7:52","Ok","Drank coffee:Drank tea:Worked out",60,"TRUE","FALSE","FALSE","HIGH",472
"207",93,"7:54","Good","Drank coffee:Drank tea:Worked out",98,"TRUE","FALSE","FALSE","HIGH",474
"208",69,"6:52","Good","Drank coffee:Drank tea",64,"FALSE","FALSE","FALSE","HIGH",412
"209",88,"7:41","Good","Drank coffee:Drank tea:Worked out",64,"TRUE","FALSE","FALSE","HIGH",461
"210",83,"7:32","Good","Drank coffee:Drank tea:Worked out",64,"TRUE","FALSE","FALSE","HIGH",452
"211",72,"7:23","Good","Drank coffee:Drank tea",63,"FALSE","FALSE","FALSE","HIGH",443
"212",96,"8:46","Good","Drank coffee:Drank tea",59,"FALSE","FALSE","FALSE","HIGH",526
"213",72,"8:13","Good","Drank coffee:Drank tea",62,"FALSE","FALSE","FALSE","HIGH",493
"214",80,"7:23","Good","Ate late:Drank coffee:Drank tea:Worked out",63,"TRUE","FALSE","TRUE","HIGH",443
"215",73,"6:50","Good","Drank coffee:Drank tea:Worked out",62,"TRUE","FALSE","FALSE","HIGH",410
"216",83,"7:33","Good","Drank tea",57,"FALSE","FALSE","FALSE","LOW",453
"217",74,"6:44","Good","Drank coffee:Drank tea:Worked out",57,"TRUE","FALSE","FALSE","HIGH",404
"218",87,"7:57","Good","Drank coffee:Drank tea:Worked out",59,"TRUE","FALSE","FALSE","HIGH",477
"219",69,"6:54","Good","Drank coffee:Drank tea:Worked out",64,"TRUE","FALSE","FALSE","HIGH",414
"220",81,"7:55","Good","Drank coffee:Drank tea:Worked out",59,"TRUE","FALSE","FALSE","HIGH",475
"221",58,"6:25","Good","Drank coffee:Drank tea:Worked out",59,"TRUE","FALSE","FALSE","HIGH",385
"222",68,"7:59","Good","Drank tea",58,"FALSE","FALSE","FALSE","LOW",479
"223",64,"8:55","Good","Drank coffee:Drank tea:Worked out",62,"TRUE","FALSE","FALSE","HIGH",535
"224",84,"7:17","Good","Drank coffee:Drank tea:Worked out",57,"TRUE","FALSE","FALSE","HIGH",437
